MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState
"Columbus, OH",10.698551488016856,5.769041386402102,1927792,2104675,4782.868472200772,4730.512099227799,75737,407.5228980631272,444.91483286631137,18140,"Columbus, OH",Columbus,OH,0.34627905,0.44996524,0.3954353,0.49789947,OH
"Corpus Christi, TX",7.058205199249334,4.7909093389685085,396807,420827,1432.2285833976835,1254.2614555984555,14972,316.367052681746,335.5177647544048,18580,"Corpus Christi, TX",Corpus Christi,TX,0.25577381,0.30370814,0.31022996,0.34816521,TX
"Corvallis, OR",4.043468157250981,4.760655206942154,80725,85246,921.0350787644787,918.576435907336,3315,87.88054738227943,92.80229349210025,18700,"Corvallis, OR",Corvallis,OR,0.33020416,0.42014483,0.39926612,0.48938054,OR
"Crestview, FL",10.916680435860197,6.993038948378547,184145,206630,783.3705868725868,746.4916038610039,9598,246.68060437326452,276.8015057788571,18880,"Crestview-Fort Walton Beach-Destin, FL",Crestview-Fort Walton Beach-Destin,FL,0.29257396,0.41137466,0.32572564,0.43272468,FL
"Cumberland, MD",4.713906477465633,2.51154432813055,107712,102904,960.4330027027028,952.3753227799227,3062,113.09826853303544,108.04983869135731,19060,"Cumberland, MD-WV",Cumberland,MD-WV,0.2159169,0.2495884,0.27051818,0.30537957,MD
"Dallas, TX",8.7128471343112,2.291302665368965,6401545,7359183,9684.832208494208,9338.944444787645,292811,685.4677247355188,788.0101486316678,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,TX,0.34575835,0.46431294,0.39693448,0.51277018,TX
"Dalton, GA",7.5482303816272855,4.413107832928793,118089,119167,498.2474243243243,495.70149343629345,4072,238.22603232720854,240.40072821631534,19140,"Dalton, GA",Dalton,GA,0.18415296,0.26577631,0.21352957,0.29899439,GA
"Danville, IL",2.9110999351307223,1.5909345062809856,80497,76397,854.838054054054,851.9422455598456,1854,94.48645189217278,89.67391909271555,19180,"Danville, IL",Danville,IL,0.2729114,0.29558307,0.3065508,0.31886387,IL
"Daphne, AL",9.161761546723952,4.81398823247321,202214,232271,1989.9685683397684,1909.348696138996,9550,105.90731824360243,121.6493354355276,19300,"Daphne-Fairhope-Foley, AL",Daphne-Fairhope-Foley,AL,0.1764939,0.2290218,0.23174872,0.28769019,AL
"Decatur, AL",11.449363333641978,4.615504851080933,154466,151597,1359.9280494208494,1314.0608405405405,4914,117.54859077640593,115.36528243063722,19460,"Decatur, AL",Decatur,AL,0.20046784,0.26173639,0.24281776,0.30145735,AL
"Decatur, IL",4.718803916552824,1.9372231633807413,120272,114964,970.441954054054,963.5138038610039,3672,124.82644204789243,119.31743950041493,19500,"Decatur, IL",Decatur,IL,0.25987801,0.32514477,0.2963607,0.3421002,IL
"Denver, CO",9.785258024438418,2.53637945319863,2506951,2850907,8638.507733204633,8579.675965637065,154086,292.1964663981167,332.2860923207736,19740,"Denver-Aurora-Lakewood, CO",Denver-Aurora-Lakewood,CO,0.3743498,0.50087583,0.42583242,0.54984295,CO
"Des Moines, IA",6.365064030657797,2.3865069281439846,562915,633852,3269.3527405405403,3248.4280444015444,27526,173.28843129837756,195.1257627800631,19780,"Des Moines-West Des Moines, IA",Des Moines-West Des Moines,IA,0.3752175,0.48650342,0.42664063,0.53014994,IA
"Detroit, MI",10.748250078929333,3.6751381215469614,4275414,4285707,4391.751215057915,4235.696669498069,171032,1009.376811797677,1011.8068724944501,19820,"Detroit-Warren-Dearborn, MI",Detroit-Warren-Dearborn,MI,0.32424751,0.43224531,0.35065165,0.44599846,MI
"Dothan, AL",6.283307029063207,3.635596082404593,170824,173350,2225.9335173745176,2210.2849783783786,5625,77.28596161628379,78.42880067310679,20020,"Dothan, AL",Dothan,AL,0.19694568,0.24327964,0.24625178,0.29699299,AL
"Dover, DE",8.788363850187022,4.331320254136703,184240,199699,746.1268664092664,721.5852895752896,6902,255.3267128109553,276.7503757144755,20100,"Dover, DE",Dover,DE,0.25415933,0.31815681,0.30486917,0.37138954,DE
"Dubuque, IA",6.284309150679761,3.4660689799492257,102613,105683,1021.4169853281853,998.6236073359073,4507,102.75443044426652,105.82866179374365,20220,"Dubuque, IA",Dubuque,IA,0.31297672,0.37436256,0.34789139,0.39925113,IA
"Duluth, MN",7.369687473769621,6.659522673174305,306593,304412,11407.157913127414,10620.65506023166,11201,28.86761675821835,28.662262193209774,20260,"Duluth, MN-WI",Duluth,MN-WI,0.26770693,0.31199023,0.30951229,0.347123,MN
"Durham, NC",8.38222591562603,4.077105849776534,663067,766642,2161.0009525096525,2109.345145945946,31780,314.34732304212093,363.450240219552,20500,"Durham-Chapel Hill, NC",Durham-Chapel Hill,NC,0.41275987,0.52036542,0.45957696,0.57052588,NC
"East Stroudsburg, PA",17.300118869192207,6.677287808585586,170134,166902,654.1198046332046,643.0470223938224,4703,264.57474193202086,259.5486709178538,20700,"East Stroudsburg, PA",East Stroudsburg,PA,0.22187363,0.23879801,0.28013471,0.30281478,PA
"Eau Claire, WI",10.31099917280887,7.463379855679904,189903,196700,2816.9935876447876,2761.5670536679536,7509,68.76639107776437,71.22767478658184,20740,"Eau Claire, WI",Eau Claire,WI,0.27712199,0.32579857,0.30554214,0.35095063,WI
"El Centro, CA",12.863557915220733,4.072330183113536,218544,216157,5498.720941312741,5189.112442857143,4727,42.115872879345225,41.65587128441241,20940,"El Centro, CA",El Centro,CA,0.22491296,0.25206363,0.28689581,0.32677534,CA
"El Paso, TX",10.095736630542692,4.065037617823799,813672,850497,882.5824274131274,880.4384185328186,26135,924.166850142592,965.9926033410565,21340,"El Paso, TX",El Paso,TX,0.29758063,0.34773588,0.34833768,0.38792619,TX
"Elizabethtown, KY",9.77296499107857,4.67979887920505,140530,143428,1101.0797328185329,1089.9071332046333,3856,128.93759084482943,131.59653298009104,21060,"Elizabethtown-Fort Knox, KY",Elizabethtown-Fort Knox,KY,0.30357519,0.37789562,0.34226704,0.40032881,KY
"Elkhart, IN",11.069994044141101,3.81672183363429,264215,270939,733.0599420849421,719.2025953667954,10185,367.3721447921772,376.7213880281123,21140,"Elkhart-Goshen, IN",Elkhart-Goshen,IN,0.18283184,0.23726732,0.21630467,0.26277831,IN
"Elmira, NY",5.573860776922127,0.7844829276902862,78938,74990,294.25028996138997,291.65381428571425,2460,270.6564979900094,257.11990149574103,21300,"Elmira, NY",Elmira,NY,0.20536025,0.26295757,0.24755412,0.30761611,NY
"Enid, OK",2.80653324131585,1.9475420135071462,63538,64737,1525.0098054054054,1522.247598069498,2601,41.73959616068922,42.52724726391353,21420,"Enid, OK",Enid,OK,0.22670059,0.2833626,0.28672192,0.32929733,OK
"Erie, PA",9.870962409851558,3.180308353973466,293277,285911,1041.8020131274131,1020.0540953667954,9350,287.5112225244703,280.2900368702416,21500,"Erie, PA",Erie,PA,0.24543543,0.29389223,0.29481268,0.33592576,PA
"Eugene, OR",11.69927278504293,7.557385583794785,341093,361724,2497.262100772201,2440.4819362934363,16993,139.76460752585876,148.21826567148472,21660,"Eugene, OR",Eugene,OR,0.28670657,0.34700429,0.34138468,0.39282721,OR
"Evansville, IN",10.07526739733263,4.754786817567087,418117,422318,2903.3899054054054,2842.1136683397685,15785,147.1148056665322,148.59293092478552,21780,"Evansville, IN-KY",Evansville,IN-KY,0.24462347,0.30506468,0.28743854,0.33877203,IN
"Fairbanks, AK",10.180554342990892,5.03625067640237,98392,99742,11514.688852895753,11428.415592277992,4102,8.609417395223359,8.72754400595951,21820,"Fairbanks, AK",Fairbanks,AK,0.30431253,0.33576667,0.37199977,0.39965317,AK
