zip,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
12721,143,0.27906549295804195,0.3424308687482518
12723,78,0.2970549704358974,0.3535771543846154
12726,15,0.6456710478000001,0.6983904314
12729,3,0.53548193,0.67719042
12733,19,0.5632584857894737,0.6427124094736842
12734,45,0.33383177355555554,0.38434812555555553
12737,26,0.4354615626923077,0.4633740730769231
12740,30,0.48571453400000003,0.5340409013333333
12742,9,0.2013841011111111,0.21851248888888886
12747,14,0.5291394585714285,0.6374212057142857
12748,36,0.27046177394444443,0.3206599621111111
12749,21,0.1417976907142857,0.18834600071428573
12751,3,0.63149911,0.7350716
12754,352,0.2704454103409091,0.3241476358494318
12758,97,0.35008627897938144,0.4173901420927836
12759,55,0.2621684888363636,0.3275180750545455
12762,6,0.017568879,0.038011037
12763,6,0.4523697199999999,0.56418341
12764,58,0.2997127644137931,0.358721141862069
12765,7,0.17196091,0.2013973
12768,18,0.07878412966666666,0.110179653
12771,435,0.3238680721954023,0.3753885290206897
12775,51,0.4441402249019608,0.4990044919607844
12776,42,0.17410829214285714,0.22276624328571432
12779,45,0.3514081880888889,0.4207982449333333
12780,8,0.17196091,0.2013973
12783,12,0.311863505,0.39270324250000005
12786,14,0.10045330428571428,0.1383877697142857
12787,6,0.20093061,0.25485313
12788,45,0.21942096488888888,0.2670075466666667
12789,60,0.3765845075,0.43874035133333333
12790,66,0.30612880528787884,0.3577612885909091
12791,3,0.017568879,0.038011037
12792,6,0.017568879,0.038011037
12801,923,0.36720806701841824,0.41072258657638133
12803,205,0.26624193561463416,0.3202936462536585
12804,1448,0.2825975370566298,0.3358990243245856
12809,17,0.23600718629411765,0.2836516735882353
12812,18,0.14684211666666666,0.19808721333333332
12814,137,0.25896400293430655,0.31125440010948907
12815,22,0.17516533818181818,0.22164030136363636
12816,72,0.37645890818055555,0.4326053695416667
12817,68,0.3500846906470588,0.4044937770882353
12822,95,0.3101261180105263,0.3555685684105263
12824,23,0.13428272000000002,0.19643216999999996
12827,76,0.2195314002368421,0.26176149610526317
12828,197,0.2543795537715736,0.3080751309086294
12831,425,0.3219934151552941,0.38074407816705885
12832,115,0.2952379561304348,0.3560003629043479
12833,98,0.3611181237755102,0.4252338035714286
12834,247,0.34033539886234815,0.40411567724291503
12835,15,0.1658049398,0.19472307540000003
12836,3,0.30971128,0.4379119
12838,6,0.017568879,0.038011037
12839,395,0.2494364728050633,0.29414612592405065
12842,34,0.16422246352941175,0.1909287455882353
12845,654,0.16697752302140673,0.21959512467431191
12846,72,0.20417555290277778,0.2508460117638889
12847,28,0.09127132753571429,0.13540129725
12849,16,0.17084760999999998,0.223008245
12850,35,0.37775527820000004,0.42083742545714287
12851,6,0.24474956,0.29015684
12853,21,0.311732499,0.349189947
12857,7,0.24474956,0.29015683999999997
12859,23,0.23253297782608695,0.29909968956521743
12860,10,0.44732004070000003,0.5259534311
12861,4,0.24474956,0.29015684
12865,34,0.2544621667058824,0.3086602327647059
12866,2933,0.3657911379635186,0.41783962130105695
12870,68,0.2052129898382353,0.26319084113235297
12871,94,0.2776166239148936,0.3284161973829788
12883,160,0.2585246162125,0.31632686225
12885,133,0.225753923,0.27558243558646617
12887,76,0.27397860359210524,0.3237096176973684
12901,2017,0.3051617990560238,0.35908857828557267
12903,55,0.48947691230909096,0.5456168889272728
12910,6,0.17196091,0.2013973
12912,22,0.18389257259090908,0.2062321555
12913,12,0.22048667666666666,0.2605703266666667
12916,12,0.396974745,0.445467145
12917,3,0.017568879,0.038011037
12918,6,0.27723042,0.36403437
12919,170,0.3386236260882353,0.419214319582353
12920,9,0.37720416333333334,0.4244468066666667
12921,22,0.1369648388181818,0.16839229463636363
12923,7,0.3699974999999999,0.40976703
12926,11,0.31835838272727274,0.38582180363636365
12928,15,0.24451377133333332,0.31321838933333335
12929,14,0.30968990035714283,0.3522477875
12932,63,0.3678170425873016,0.4144795941111111
12936,6,0.63149911,0.7350716
12941,27,0.4595384914814815,0.5236956474074075
12942,17,0.15917250570588234,0.20706801064705882
12943,21,0.202852267,0.26074516957142857
12944,106,0.35338446183962263,0.4175289453301887
12945,7,0.13428272,0.19643217
12946,604,0.2815407872168874,0.32564611404801325
12950,8,0.15695499,0.20845784
12953,544,0.3076136809816177,0.3594728435441177
12955,3,0.13428272,0.19643217
12957,6,0.20093061,0.25485313
12958,6,0.35372142,0.43929386
12962,50,0.3124918268,0.36580841
12966,10,0.383018209,0.42665155600000004
12967,7,0.017568879,0.038011037000000004
12970,9,0.5120795166666666,0.62114614
12972,91,0.2552013813076923,0.30472601003296707
12974,38,0.27939895965789474,0.3132852641315789
12977,3,0.80269659,0.86348528
12979,19,0.14864177668421052,0.18413541531578947
12980,3,0.017568879,0.038011037
12981,9,0.2939062,0.33433784
12983,462,0.3281068267727273,0.37493955954112557
12985,6,0.17196091,0.2013973
12986,198,0.2167919817727273,0.25609753248989897
12989,9,0.17196091,0.2013973
