COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01045,36330,0.065390860,0.028543800,0.049833900,0.062685812
01047,36775,0.019431400,0.007262820,0.002913750,0.017479900
01047,36785,0.006573000,0.002269630,0.000000000,0.005838430
01047,36759,0.040629400,0.013617800,0.001748250,0.036162900
01047,36703,0.288349355,0.346799818,0.331585082,0.295530944
01047,36773,0.008668100,0.001815710,0.002331000,0.007749200
01047,36749,0.011297300,0.002723560,0.006410260,0.010332300
01047,36701,0.553857530,0.600998638,0.639860140,0.562754326
01047,36761,0.014624900,0.011802100,0.000000000,0.013516900
01047,36758,0.017254100,0.005901040,0.000582751,0.015356900
01047,36767,0.039314800,0.006808900,0.014568800,0.035278300
01049,35951,0.029425200,0.005301020,0.006069800,0.027467800
01049,35771,0.002290430,0.000000000,0.003034900,0.002152880
01049,35954,0.001751500,0.000378644,0.000000000,0.001633220
01049,35975,0.014173700,0.001893220,0.000000000,0.013140000
01049,35984,0.031284500,0.015145800,0.012139600,0.029917600
01049,35979,0.011991100,0.004922380,0.000000000,0.011333500
01049,35971,0.064293606,0.033699400,0.060698000,0.062235500
01049,35968,0.102126054,0.202196138,0.068285281,0.108114127
01049,35989,0.045485200,0.012495300,0.010622200,0.042760600
01049,35988,0.024494100,0.010223400,0.078907436,0.024448800
01049,35974,0.023766500,0.025747800,0.015174500,0.023755900
01049,35959,0.000808386,0.000000000,0.000000000,0.000742372
01049,35966,0.019751600,0.011738000,0.012139600,0.019103700
01049,35978,0.071461292,0.053010200,0.031866500,0.069609760
01049,35981,0.032227600,0.024611900,0.050075900,0.032021000
01049,35963,0.023820400,0.002650510,0.012139600,0.022246400
01049,35765,0.003341330,0.000000000,0.003034900,0.003117960
01049,35957,0.026946200,0.005301020,0.006069800,0.025191200
01049,35962,0.088491283,0.037485800,0.062215500,0.084729405
01049,35986,0.109563202,0.099962136,0.095599393,0.108708025
01049,35983,0.000619762,0.000000000,0.000000000,0.000569152
01049,35956,0.000026946,0.000000000,0.000000000,0.000024746
